"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","AI Evaluation","0","Judge helpers","1","0","Normalize confidence to int","0"
"0","TMDB API","0","Networks","2","0","Get Invalid Network Details","0"
"0","TMDB API","0","Journeys","8","0","Search then view movie details","0"
"0","AI Evaluation","0","Agentic refine loop","1","0","Only failed dimensions contribute issues","0"
"0","TMDB API","0","Movies","3","0","Get Movie Details - Invalid","0"
"0","TMDB API","0","Reviews","2","0","Get Invalid Review Details","0"
"0","TMDB API","0","Discover","13","0","Discover Movies","0"
"0","TMDB API","0","Search","8","0","Search Movies","0"
"0","TMDB API","0","People","3","0","Get Invalid Person Details","0"
"0","AI Evaluation","0","Judge helpers","3","0","Schema shape","0"
"0","AI Evaluation","0","Agentic refine loop","1","0","Refinement appends when no prior result matches","0"
"0","TMDB API","0","Movies","2","0","Delete Invalid Movie Rating","0"
"0","AI Evaluation","0","Agentic refine loop","1","0","A clean pass yields no issues","0"
"0","TMDB API","0","Movies","2","0","Add Movie Rating - Invalid Value","0"
"0","TMDB API","0","Lists","2","0","Update List Description","0"
"0","TMDB API","0","Lists","2","0","Update Invalid List Description","0"
"0","TMDB API","0","Trending","1","0","Get Trending Movies with Invalid Query Params","0"
"0","AI Evaluation","0","Judge helpers","1","0","Normalize confidence","0"
"0","AI Evaluation","0","Agentic refine loop","1","0","Refine when judge passes but confidence misses the bar","0"
"0","TMDB API","0","Movie Lists","1","0","Get Popular Movies with Invalid Query Params","0"
"0","TMDB API","0","Contracts","1","0","Get Movie Details Contract","0"
"0","TMDB API","0","Contracts","1","0","Get Popular Movies Contract","0"
"0","TMDB API","0","Discover","2","0","Discover Movies with Invalid Query Params","0"
"0","TMDB API","0","Contracts","1","0","Get Invalid Movie Details Contract","0"
"0","AI Evaluation","0","Judge helpers","1","0","Purity","0"
"0","AI Evaluation","0","Agentic refine loop","1","0","Disabled analyzer refines to None","0"
"0","TMDB API","0","Reviews","1","0","Get Review Details","0"
"0","TMDB API","0","Movies","1","0","Delete Movie Rating","0"
"0","AI Evaluation","0","Agentic refine loop","1","0","A judge error stops the loop","0"
"0","TMDB API","0","Search","2","0","Search Movies with Invalid Query Params","0"
"0","TMDB API","0","Movies","3","0","Get Movie Details","0"
"0","AI Evaluation","0","Agentic refine loop","1","0","Loop is bounded by max_iterations","0"
"0","TMDB API","0","Movie Lists","2","0","Get Popular Movies","0"
"0","AI Evaluation","0","Golden dataset loader","7","0","Per-case errors","0"
"0","TMDB API","0","Discover","2","0","Discover Movies with No Matches","0"
"0","AI Evaluation","0","Agentic refine loop","1","0","Weak diagnosis is refined until judge-pass + confident","0"
"0","TMDB API","0","Networks","1","0","Get Network Details","0"
"0","TMDB API","0","Trending","3","0","Get Trending Movies","0"
"0","TMDB API","0","People","1","0","Get Person Details","0"
"0","TMDB API","0","Contracts","1","0","Get Popular Invalid Movies Contract","0"
"0","TMDB API","0","Search","3","0","Search Movies with No Matches","0"
"0","AI Evaluation","0","Golden dataset loader","3","0","Structural errors","0"
"0","TMDB API","0","Movies","1","0","Add Movie Rating","0"
"0","TMDB API","0","Journeys","2","0","Browse trending then read a movie review's details","0"
"0","AI Evaluation","0","Golden dataset loader","1","0","Valid dataset","0"
"0","AI Evaluation","0","Judge helpers","1","0","Strip bookkeeping keys","0"
